primary_id,paxdb_ppm
Q99878,454.0
P20671,454.0
Q9BTM1,453.0
P27918,451.0
P49773,451.0
P46778,449.0
B1AK88,449.0
O60240,448.0
P61313,447.0
P14174,447.0
P05160,445.0
P12956,443.0
P50552,437.0
P24844,435.0
P62750,434.0
P05787,433.0
P30048,426.0
P26599,425.0
P05783,422.0
O43707,421.0
P50991,420.0
P51149,418.0
P78417,417.0
P63173,414.0
Q00839,413.0
Q9UGM5,413.0
P39023,412.0
P00915,412.0
Q99623,411.0
P27824,410.0
P62424,409.0
P0DP23,409.0
P0DP24,409.0
P0DP25,409.0
P42766,407.0
A0A0U1RR32,407.0
P21796,405.0
P62753,402.0
P07108,401.0
P10643,400.0
P18124,400.0
P50990,400.0
Q6NZI2,400.0
P46777,397.0
P26373,395.0
K7ELC2,394.0
P61353,392.0
P17661,391.0
P13224,390.0
P13010,388.0
K7ERG9,386.0
P50914,385.0
P05543,385.0
P14866,385.0
P46782,383.0
P50395,382.0
P04080,382.0
P63220,382.0
P07358,381.0
Q15084,380.0
P58546,377.0
P04632,377.0
P48643,376.0
P55209,374.0
P13796,369.0
Q562R1,368.0
P20290,367.0
Q15233,366.0
P09936,364.0
P49368,364.0
P39687,360.0
P62241,359.0
P02545,358.0
P26583,356.0
Q13838,355.0
P38646,355.0
Q04917,349.0
Q9H0U4,347.0
P84103,347.0
Q9Y281,346.0
Q01469,345.0
P05141,344.0
Q9HB71,342.0
P62942,342.0
P14770,342.0
P34931,341.0
P62316,339.0
P62701,338.0
P62854,337.0
P62910,337.0
P62873,337.0
P63313,336.0
Q96NZ9,335.0
P61106,332.0
A0A2R8Y4L2,332.0
P20618,332.0
P54819,331.0
P99999,331.0
P37837,328.0
P35232,328.0
P14151,326.0
P40939,326.0
P07357,323.0
P09486,322.0
P46781,319.0
A0A8J8YWN6,318.0
P25787,317.0
P62280,315.0
P47914,314.0
P22314,314.0
P25786,313.0
Q8NC51,313.0
Q99832,312.0
P84098,312.0
P62847,312.0
P61586,310.0
P15531,310.0
A0A0B4J269,310.0
P52272,309.0
P09972,308.0
A0A087WYT3,305.0
P28066,304.0
A0A0B4J2C3,303.0
P31943,302.0
P04179,301.0
P00918,299.0
P45880,299.0
P07360,298.0
Q16610,298.0
P48047,295.0
P62857,295.0
P62304,295.0
P60866,294.0
Q02543,294.0
P08779,293.0
P14854,293.0
P17987,291.0
Q07020,290.0
P61088,289.0
P52209,288.0
P52907,288.0
P49908,288.0
P21291,286.0
Q06323,286.0
Q92688,285.0
P49720,285.0
P32969,285.0
Q13185,284.0
P25398,283.0
P02533,280.0
P53999,280.0
Q15907,280.0
P12235,280.0
P36542,278.0
Q16629,278.0
Q9HBI1,276.0
O15511,275.0
P04114,274.0
P60842,274.0
P62891,273.0
P02788,271.0
P62820,271.0
P04278,270.0
P01037,268.0
Q9UQ80,268.0
E9PB61,267.0
P05106,265.0
P12004,264.0
Q16836,264.0
O14791,262.0
P62899,262.0
P15880,261.0
P62491,260.0
P28070,260.0
P80723,260.0
P07205,260.0
A0AAG2SVT6,260.0
Q9H853,259.0
P07225,255.0
P04899,253.0
P06454,253.0
Q9P1F3,252.0
Q9BUF5,251.0
P37840,250.0
P31948,249.0
Q99714,248.0
P60900,247.0
O43169,247.0
Q9Y3U8,245.0
O75947,245.0
P50995,245.0
Q32P51,244.0
Q14697,243.0
P13647,242.0
P26447,241.0
Q02325,241.0
P25789,241.0
P40429,241.0
P22692,239.0
Q15365,238.0
P26641,238.0
P62244,237.0
Q99729,237.0
P02747,236.0
P67809,236.0
P62913,236.0
P06681,235.0
P09669,235.0
P62917,233.0
P59665,233.0
P59666,233.0
P08185,233.0
P30044,233.0
P30084,233.0
P23526,232.0
P50213,231.0
P12236,230.0
P54727,230.0
P13804,230.0
P13987,229.0
P08134,229.0
P13073,229.0
P0DML2,228.0
P0DML3,228.0
P14649,228.0
P12111,228.0
P07384,227.0
P16949,226.0
Q03135,226.0
Q9P0M6,225.0
A0A8C8L741,225.0
P52597,225.0
P00167,224.0
P01031,224.0
P12883,224.0
Q15555,224.0
P02100,224.0
P09874,223.0
P30043,223.0
P62277,223.0
P61006,222.0
O00194,221.0
P61952,221.0
P04259,220.0
P46776,220.0
P30040,220.0
P17096,218.0
P00492,218.0
Q14974,217.0
P49006,217.0
P20742,217.0
O75368,217.0
P09622,216.0
Q07955,216.0
P31150,215.0
Q92686,215.0
P55084,214.0
Q6IS14,214.0
P20700,213.0
O00429,213.0
P49458,213.0
H3BRW7,213.0
P04040,212.0
P22792,211.0
Q3ZCM7,211.0
P62306,211.0
P39019,210.0
P29966,209.0
P47755,209.0
P30153,209.0
P05455,208.0
P62851,208.0
Q04837,208.0
Q9UL46,207.0
P68431,207.0
P61204,207.0
Q16851,206.0
Q13263,206.0
P11216,205.0
P05204,205.0
P35241,204.0
P18065,204.0
P30405,204.0
P80188,203.0
P25788,203.0
O75390,202.0
P05164,202.0
P23246,202.0
Q13201,202.0
O75882,201.0
P18621,201.0
P07919,201.0
Q9Y277,200.0
P62879,200.0
Q01813,200.0
P50502,200.0
P19367,199.0
