Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
P14923	P14923	JUP	Junction plakoglobin	sp|P14923|PLAK_HUMAN Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3				137600000.0	209700000.0	112490000.0
P14927;P14927-2	P14927;P14927-2	UQCRB	Cytochrome b-c1 complex subunit 7	sp|P14927|QCR7_HUMAN Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2;sp|P14927-2|QCR7_HUMAN Isoform 2 of Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB						
P15121;C9JRZ8;C9JRZ8-2	P15121	AKR1B1	Aldose reductase	sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3				98610000.0	77717000.0	89999000.0
P15170-2;P15170-3;P15170;Q8IYD1	P15170-2;P15170-3;P15170;Q8IYD1	GSPT1;GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A;Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	sp|P15170-2|ERF3A_HUMAN Isoform 2 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1;sp|P15170-3|ERF3A_HUMAN Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens O				93666000.0	78032000.0	75407000.0
P15311	P15311	EZR	Ezrin	sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4				522530000.0	376830000.0	466970000.0
P15374	P15374	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	sp|P15374|UCHL3_HUMAN Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1						
P15529-16;P15529-7;P15529-4;P15529-6;P15529-3;P15529-5;P15529-2	P15529-16;P15529-7;P15529-4;P15529-6;P15529-3;P15529-5;P15529-2			sp|P15529-16|MCP_HUMAN Isoform 3 of Membrane cofactor protein OS=Homo sapiens OX=9606 GN=CD46;sp|P15529-7|MCP_HUMAN Isoform L of Membrane cofactor protein OS=Homo sapiens OX=9606 GN=CD46;sp|P15529-4|MCP_HUMAN Isoform F of Membrane cofactor protein OS=Homo 						
P15531;P15531-2	P15531;P15531-2	NME1	Nucleoside diphosphate kinase A	sp|P15531|NDKA_HUMAN Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1;sp|P15531-2|NDKA_HUMAN Isoform 2 of Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1						
P15559-3;P15559-2;P15559	P15559-3;P15559-2;P15559	NQO1	NAD(P)H dehydrogenase [quinone] 1	sp|P15559-3|NQO1_HUMAN Isoform 3 of NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1;sp|P15559-2|NQO1_HUMAN Isoform 2 of NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1;sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone]				62456000.0	73280000.0	82768000.0
P15586-2;P15586	P15586-2;P15586	GNS	N-acetylglucosamine-6-sulfatase	sp|P15586-2|GNS_HUMAN Isoform 2 of N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS;sp|P15586|GNS_HUMAN N-acetylglucosamine-6-sulfatase OS=Homo sapiens OX=9606 GN=GNS PE=1 SV=3						
P15880	P15880	RPS2	40S ribosomal protein S2	sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2				1233700000.0	968080000.0	982570000.0
P15924;P15924-3;P15924-2	P15924;P15924-3;P15924-2	DSP	Desmoplakin	sp|P15924|DESP_HUMAN Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3;sp|P15924-3|DESP_HUMAN Isoform DSPIa of Desmoplakin OS=Homo sapiens OX=9606 GN=DSP;sp|P15924-2|DESP_HUMAN Isoform DPII of Desmoplakin OS=Homo sapiens OX=9606 GN=DSP				735060000.0	1076500000.0	758830000.0
P15927;P15927-2;P15927-3	P15927;P15927-2;P15927-3	RPA2	Replication protein A 32 kDa subunit	sp|P15927|RFA2_HUMAN Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1;sp|P15927-2|RFA2_HUMAN Isoform 2 of Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2;sp|P15927-3|RFA2_HUMAN Isoform 3 of Replication pro						
