Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity Strap_1	LFQ intensity Strap_2	LFQ intensity Strap_3
P0DPI2;A0A0B4J2D5;P0DPI2-2;A0A0B4J2D5-2	P0DPI2;A0A0B4J2D5;P0DPI2-2;A0A0B4J2D5-2			sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondr				42382000.0	37800000.0	
A0AV96-2;A0AV96	A0AV96-2;A0AV96	RBM47	RNA-binding protein 47	sp|A0AV96-2|RBM47_HUMAN Isoform 2 of RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47;sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2				3423300.0		
A0AVT1;A0AVT1-4;A0AVT1-3;A0AVT1-2	A0AVT1;A0AVT1-4;A0AVT1-3	UBA6	Ubiquitin-like modifier-activating enzyme 6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1;sp|A0AVT1-4|UBA6_HUMAN Isoform 4 of Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6;sp|A0AVT1-3|UBA6_HUMAN Isoform 3 of U						
A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4;A0FGR8-5	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	ESYT2	Extended synaptotagmin-2	sp|A0FGR8-2|ESYT2_HUMAN Isoform 2 of Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2;sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1;sp|A0FGR8-6|ESYT2_HUMAN Isoform 6 of Extended synaptotagmin-2 OS=Homo s						
A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2;A0MZ66-7	A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2	KIAA1598	Shootin-1	sp|A0MZ66-8|SHOT1_HUMAN Isoform 8 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-4|SHOT1_HUMAN Isoform 4 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-5|SHOT1_HUMAN Isoform 5 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-6|SHOT				50959000.0		
A1L0T0	A1L0T0	ILVBL	Acetolactate synthase-like protein	sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2						
A1X283;Q5TCZ1-3;Q5TCZ1	A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3						
A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	CNOT1	CCR4-NOT transcription complex subunit 1	sp|A5YKK6-2|CNOT1_HUMAN Isoform 2 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1;sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2;sp|A5YKK6-3|CNOT1_HUMAN Isoform 3 of CC						
A6NDG6	A6NDG6	PGP	Phosphoglycolate phosphatase	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1					58855000.0	48684000.0
A6NDU8	A6NDU8	C5orf51	UPF0600 protein C5orf51	sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1						
A6NED2	A6NED2	RCCD1	RCC1 domain-containing protein 1	sp|A6NED2|RCCD1_HUMAN RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1						
A6NHQ2	A6NHQ2	FBLL1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2				39640000.0		
A6NHR9;A6NHR9-2;A6NHR9-3	A6NHR9;A6NHR9-2	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2;sp|A6NHR9-2|SMHD1_HUMAN Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing p						
Q7Z3J3;A6NKT7	Q7Z3J3;A6NKT7	RGPD4;RGPD3	RanBP2-like and GRIP domain-containing protein 4;RanBP2-like and GRIP domain-containing protein 3	sp|Q7Z3J3|RGPD4_HUMAN RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2				22503000.0		
P62308;A8MWD9	P62308;A8MWD9	SNRPG;SNRPGP15	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2				38668000.0	53780000.0	65026000.0
Q13765;E9PAV3-2;E9PAV3;Q9BZK3	Q13765;E9PAV3-2;E9PAV3	NACA	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	sp|Q13765|NACA_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;sp|E9PAV3-2|NACAM_HUMAN Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=960				795030000.0	760610000.0	657270000.0
L0R6Q1	L0R6Q1	SLC35A4		sp|L0R6Q1|S35U4_HUMAN SLC35A4 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=SLC35A4 PE=3 SV=1						
O00115-2;O00115	O00115-2;O00115	DNASE2	Deoxyribonuclease-2-alpha	sp|O00115-2|DNS2A_HUMAN Isoform 2 of Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 GN=DNASE2;sp|O00115|DNS2A_HUMAN Deoxyribonuclease-2-alpha OS=Homo sapiens OX=9606 GN=DNASE2 PE=1 SV=2						
O00116	O00116	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1						
O00139-2;O00139-1;O00139-5;O00139;O00139-4	O00139-2;O00139-1;O00139-5;O00139;O00139-4	KIF2A	Kinesin-like protein KIF2A	sp|O00139-2|KIF2A_HUMAN Isoform 2 of Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A;sp|O00139-1|KIF2A_HUMAN Isoform 1 of Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A;sp|O00139-5|KIF2A_HUMAN Isoform 5 of Kinesin-like protein KIF2				25936000.0		
O00148;O00148-2;O00148-3	O00148;O00148-2;O00148-3	DDX39A	ATP-dependent RNA helicase DDX39A	sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2;sp|O00148-2|DX39A_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A;sp|O00148-3|DX39A_HUMAN Isoform 3 of ATP-dependent 						66340000.0
O00151	O00151	PDLIM1	PDZ and LIM domain protein 1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4				206910000.0	206660000.0	197130000.0
O00154-2;O00154-3;O00154-4;O00154-6;O00154-5;O00154-7;O00154	O00154-2;O00154-3;O00154-4;O00154-6;O00154-5;O00154-7;O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	sp|O00154-2|BACH_HUMAN Isoform 2 of Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7;sp|O00154-3|BACH_HUMAN Isoform 3 of Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7;sp|O00154-4|BACH_HUMAN Iso					41526000.0	32672000.0
O00159;O00159-3;O00159-2	O00159;O00159-3;O00159-2	MYO1C	Unconventional myosin-Ic	sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;sp|O00159-3|MYO1C_HUMAN Isoform 3 of Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C;sp|O00159-2|MYO1C_HUMAN Isoform 2 of Unconventional myosin-Ic OS=Homo s				84392000.0	96168000.0	75780000.0
O00161-2;O00161	O00161-2;O00161	SNAP23	Synaptosomal-associated protein 23	sp|O00161-2|SNP23_HUMAN Isoform SNAP-23b of Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23;sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1						
O00170	O00170	AIP	AH receptor-interacting protein	sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=2					17536000.0	
O00178	O00178	GTPBP1	GTP-binding protein 1	sp|O00178|GTPB1_HUMAN GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3					14295000.0	
O00193	O00193	SMAP	Small acidic protein	sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1					25722000.0	
O00203-3;O00203;Q13367-3;Q13367;Q13367-4	O00203-3;O00203	AP3B1	AP-3 complex subunit beta-1	sp|O00203-3|AP3B1_HUMAN Isoform 2 of AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1;sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3						45198000.0
O00217	O00217	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1						
O00231;O00231-2	O00231;O00231-2	PSMD11	26S proteasome non-ATPase regulatory subunit 11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3;sp|O00231-2|PSD11_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11				137820000.0	173140000.0	155800000.0
O00232;O00232-2	O00232;O00232-2	PSMD12	26S proteasome non-ATPase regulatory subunit 12	sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3;sp|O00232-2|PSD12_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12						
O00233;O00233-2;O00233-3	O00233;O00233-2	PSMD9	26S proteasome non-ATPase regulatory subunit 9	sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3;sp|O00233-2|PSMD9_HUMAN Isoform p27-S of 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9						
O00244	O00244	ATOX1	Copper transport protein ATOX1	sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens OX=9606 GN=ATOX1 PE=1 SV=1						
O00255-3;O00255-2;O00255	O00255-3;O00255-2;O00255	MEN1	Menin	sp|O00255-3|MEN1_HUMAN Isoform 3 of Menin OS=Homo sapiens OX=9606 GN=MEN1;sp|O00255-2|MEN1_HUMAN Isoform 2 of Menin OS=Homo sapiens OX=9606 GN=MEN1;sp|O00255|MEN1_HUMAN Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4						
O00264;O00264-2	O00264;O00264-2	PGRMC1	Membrane-associated progesterone receptor component 1	sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3;sp|O00264-2|PGRC1_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1				86571000.0		85860000.0
O00267-2;O00267	O00267-2;O00267	SUPT5H	Transcription elongation factor SPT5	sp|O00267-2|SPT5H_HUMAN Isoform 2 of Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H;sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1						
O00273;O00273-2	O00273;O00273-2	DFFA	DNA fragmentation factor subunit alpha	sp|O00273|DFFA_HUMAN DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1;sp|O00273-2|DFFA_HUMAN Isoform DFF35 of DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA						
O00291-3;O00291-4;O00291	O00291-3;O00291-4;O00291	HIP1	Huntingtin-interacting protein 1	sp|O00291-3|HIP1_HUMAN Isoform 3 of Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1;sp|O00291-4|HIP1_HUMAN Isoform 4 of Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1;sp|O00291|HIP1_HUMAN Huntingtin-interacting protein 1 						
O00299	O00299	CLIC1	Chloride intracellular channel protein 1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4				493460000.0	569910000.0	484290000.0
O00303	O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1				235250000.0	260940000.0	250550000.0
O00330;O00330-3;O00330-2	O00330;O00330-3;O00330-2	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3;sp|O00330-3|ODPX_HUMAN Isoform 3 of Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX;sp|O00330						
O00401	O00401	WASL	Neural Wiskott-Aldrich syndrome protein	sp|O00401|WASL_HUMAN Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2						
O00410;O00410-3;O00410-2;O60518	O00410;O00410-3;O00410-2	IPO5	Importin-5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;sp|O00410-3|IPO5_HUMAN Isoform 3 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5;sp|O00410-2|IPO5_HUMAN Isoform 2 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5				293700000.0	243030000.0	289770000.0
O00411	O00411	POLRMT	DNA-directed RNA polymerase, mitochondrial	sp|O00411|RPOM_HUMAN DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=POLRMT PE=1 SV=2						14774000.0
O00422;O00422-2	O00422;O00422-2	SAP18	Histone deacetylase complex subunit SAP18	sp|O00422|SAP18_HUMAN Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1;sp|O00422-2|SAP18_HUMAN Isoform 2 of Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18					33788000.0	59363000.0
O00425;O00425-2	O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2				57435000.0	51951000.0	64788000.0
O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	DNM1L	Dynamin-1-like protein	sp|O00429-3|DNM1L_HUMAN Isoform 2 of Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L;sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2;sp|O00429-4|DNM1L_HUMAN Isoform 3 of Dynamin-1-like protein OS=Homo sapiens					80207000.0	66330000.0
O00442;O00442-2	O00442;O00442-2	RTCA	RNA 3-terminal phosphate cyclase	sp|O00442|RTCA_HUMAN RNA 3-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA PE=1 SV=1;sp|O00442-2|RTCA_HUMAN Isoform 2 of RNA 3-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA						
O00461	O00461	GOLIM4	Golgi integral membrane protein 4	sp|O00461|GOLI4_HUMAN Golgi integral membrane protein 4 OS=Homo sapiens OX=9606 GN=GOLIM4 PE=1 SV=1						
O00469-2;O00469;O00469-3	O00469-2;O00469;O00469-3	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	sp|O00469-2|PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2;sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2;sp|O00469-3|PLOD2_HUM						
O00483	O00483	NDUFA4	Cytochrome c oxidase subunit NDUFA4	sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1						64404000.0
O00487	O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14	sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1						81133000.0
O00505	O00505	KPNA3	Importin subunit alpha-4	sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2						
O00541-2;O00541	O00541-2;O00541	PES1	Pescadillo homolog	sp|O00541-2|PESC_HUMAN Isoform 2 of Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1;sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1				66284000.0	65708000.0	79850000.0
O00560-2;O00560	O00560-2;O00560	SDCBP	Syntenin-1	sp|O00560-2|SDCB1_HUMAN Isoform 2 of Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP;sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1						12627000.0
O00566	O00566	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	sp|O00566|MPP10_HUMAN U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2				9828200.0		
O00567	O00567	NOP56	Nucleolar protein 56	sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4				240790000.0	191870000.0	180460000.0
O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0	O00571;O00571-2;O15523-2;O15523	DDX3X;DDX3Y	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O00571-2|DDX3X_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X;sp|O15523-2|DDX3Y_HUMAN Isoform 2 of ATP-dependent RNA 				304990000.0	272850000.0	302090000.0
O00592-2;O00592	O00592-2;O00592	PODXL	Podocalyxin	sp|O00592-2|PODXL_HUMAN Isoform 2 of Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL;sp|O00592|PODXL_HUMAN Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL PE=1 SV=2				39232000.0	45137000.0	43802000.0
O00625	O00625	PIR	Pirin	sp|O00625|PIR_HUMAN Pirin OS=Homo sapiens OX=9606 GN=PIR PE=1 SV=1						
O00629	O00629	KPNA4	Importin subunit alpha-3	sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1						
O00764;O00764-3;O00764-2	O00764;O00764-3;O00764-2	PDXK	Pyridoxal kinase	sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1;sp|O00764-3|PDXK_HUMAN Isoform 3 of Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK;sp|O00764-2|PDXK_HUMAN Isoform 2 of Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK						
O00767	O00767	SCD	Acyl-CoA desaturase	sp|O00767|ACOD_HUMAN Acyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2						
O14545;O14545-2	O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1	sp|O14545|TRAD1_HUMAN TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TRAFD1 PE=1 SV=1						
O14548	O14548	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	sp|O14548|COX7R_HUMAN Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2L PE=1 SV=2						8378000.0
O14561	O14561	NDUFAB1	Acyl carrier protein, mitochondrial	sp|O14561|ACPM_HUMAN Acyl carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAB1 PE=1 SV=3						
O14579;O14579-2;O14579-3	O14579;O14579-2;O14579-3	COPE	Coatomer subunit epsilon	sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3;sp|O14579-2|COPE_HUMAN Isoform 2 of Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE;sp|O14579-3|COPE_HUMAN Isoform 3 of Coatomer subunit epsilon OS=Homo sapien				39830000.0	66293000.0	60084000.0
O14617-5;O14617-4;O14617;O14617-2;O14617-3	O14617-5;O14617-4;O14617;O14617-2	AP3D1	AP-3 complex subunit delta-1	sp|O14617-5|AP3D1_HUMAN Isoform 5 of AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1;sp|O14617-4|AP3D1_HUMAN Isoform 4 of AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1;sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo						
O14732-2;O14732	O14732-2;O14732	IMPA2	Inositol monophosphatase 2	sp|O14732-2|IMPA2_HUMAN Isoform 2 of Inositol monophosphatase 2 OS=Homo sapiens OX=9606 GN=IMPA2;sp|O14732|IMPA2_HUMAN Inositol monophosphatase 2 OS=Homo sapiens OX=9606 GN=IMPA2 PE=1 SV=1						13724000.0
O14737;O14737-2	O14737;O14737-2	PDCD5	Programmed cell death protein 5	sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3;sp|O14737-2|PDCD5_HUMAN Isoform 2 of Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5				88621000.0	106680000.0	66753000.0
O14744;O14744-2;O14744-5;O14744-3;O14744-4	O14744;O14744-2;O14744-5;O14744-3;O14744-4	PRMT5	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4;sp|O14744-2|ANM5_HUMAN Isoform 2 of Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5;sp|O14744-5|ANM5_HUMAN Isoform 5 of Protein a				56607000.0		60472000.0
O14745;O14745-2	O14745;O14745-2	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4;sp|O14745-2|NHRF1_HUMAN Isoform 2 of Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1				212680000.0	169970000.0	195320000.0
O14776-2;O14776	O14776-2;O14776	TCERG1	Transcription elongation regulator 1	sp|O14776-2|TCRG1_HUMAN Isoform 2 of Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1;sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2				65056000.0	58512000.0	41058000.0
O14818;O14818-2;O14818-4;Q8TAA3-2;Q8TAA3-5;Q8TAA3	O14818;O14818-2;O14818-4	PSMA7	Proteasome subunit alpha type-7	sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1;sp|O14818-2|PSA7_HUMAN Isoform 2 of Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7;sp|O14818-4|PSA7_HUMAN Isoform 3 of Proteasome subunit alph				464890000.0	414630000.0	460000000.0
O14828;O14828-2	O14828;O14828-2	SCAMP3	Secretory carrier-associated membrane protein 3	sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3;sp|O14828-2|SCAM3_HUMAN Isoform 2 of Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3				93542000.0	51625000.0	
O14880	O14880	MGST3	Microsomal glutathione S-transferase 3	sp|O14880|MGST3_HUMAN Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1					39668000.0	74075000.0
