Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity SP3_1	LFQ intensity SP3_2	LFQ intensity SP3_3
Q9BVK6	Q9BVK6	TMED9	Transmembrane emp24 domain-containing protein 9	sp|Q9BVK6|TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2				113030000.0		
Q9BVP2-2;Q9BVP2	Q9BVP2-2;Q9BVP2	GNL3	Guanine nucleotide-binding protein-like 3	sp|Q9BVP2-2|GNL3_HUMAN Isoform 2 of Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3;sp|Q9BVP2|GNL3_HUMAN Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2				115430000.0		
Q9BVW5	Q9BVW5	TIPIN	TIMELESS-interacting protein	sp|Q9BVW5|TIPIN_HUMAN TIMELESS-interacting protein OS=Homo sapiens OX=9606 GN=TIPIN PE=1 SV=2						4337700.0
Q9BW19	Q9BW19	KIFC1	Kinesin-like protein KIFC1	sp|Q9BW19|KIFC1_HUMAN Kinesin-like protein KIFC1 OS=Homo sapiens OX=9606 GN=KIFC1 PE=1 SV=2					7948700.0	
Q9BW27;Q9BW27-3;Q9BW27-2	Q9BW27;Q9BW27-3	NUP85	Nuclear pore complex protein Nup85	sp|Q9BW27|NUP85_HUMAN Nuclear pore complex protein Nup85 OS=Homo sapiens OX=9606 GN=NUP85 PE=1 SV=1;sp|Q9BW27-3|NUP85_HUMAN Isoform 3 of Nuclear pore complex protein Nup85 OS=Homo sapiens OX=9606 GN=NUP85					10875000.0	
Q9BWD1;Q9BWD1-2	Q9BWD1;Q9BWD1-2	ACAT2	Acetyl-CoA acetyltransferase, cytosolic	sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2;sp|Q9BWD1-2|THIC_HUMAN Isoform 2 of Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2				69545000.0		82449000.0
Q9BWF3;Q9BQ04;Q9BWF3-4;Q9BWF3-3;Q9BWF3-2	Q9BWF3;Q9BQ04;Q9BWF3-4;Q9BWF3-3;Q9BWF3-2	RBM4;RBM4B	RNA-binding protein 4;RNA-binding protein 4B	sp|Q9BWF3|RBM4_HUMAN RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1;sp|Q9BQ04|RBM4B_HUMAN RNA-binding protein 4B OS=Homo sapiens OX=9606 GN=RBM4B PE=1 SV=1;sp|Q9BWF3-4|RBM4_HUMAN Isoform 4 of RNA-binding protein 4 OS=Homo sapiens OX=9606 G				165990000.0	141940000.0	172320000.0
Q9BWJ5	Q9BWJ5	SF3B5	Splicing factor 3B subunit 5	sp|Q9BWJ5|SF3B5_HUMAN Splicing factor 3B subunit 5 OS=Homo sapiens OX=9606 GN=SF3B5 PE=1 SV=1						49718000.0
Q9BWM7	Q9BWM7	SFXN3	Sideroflexin-3	sp|Q9BWM7|SFXN3_HUMAN Sideroflexin-3 OS=Homo sapiens OX=9606 GN=SFXN3 PE=1 SV=3				16445000.0		
Q9BWU0	Q9BWU0	SLC4A1AP	Kanadaptin	sp|Q9BWU0|NADAP_HUMAN Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1				4857700.0		
Q9BXB5-2;Q9BXB5	Q9BXB5-2;Q9BXB5	OSBPL10	Oxysterol-binding protein-related protein 10	sp|Q9BXB5-2|OSB10_HUMAN Isoform 2 of Oxysterol-binding protein-related protein 10 OS=Homo sapiens OX=9606 GN=OSBPL10;sp|Q9BXB5|OSB10_HUMAN Oxysterol-binding protein-related protein 10 OS=Homo sapiens OX=9606 GN=OSBPL10 PE=1 SV=2					12529000.0	
Q9BXJ8-2;Q9BXJ8	Q9BXJ8-2;Q9BXJ8	TMEM120A	Transmembrane protein 120A	sp|Q9BXJ8-2|T120A_HUMAN Isoform 2 of Transmembrane protein 120A OS=Homo sapiens OX=9606 GN=TMEM120A;sp|Q9BXJ8|T120A_HUMAN Transmembrane protein 120A OS=Homo sapiens OX=9606 GN=TMEM120A PE=1 SV=1						6934500.0
Q9BXJ9;Q9BXJ9-4;Q6N069-5;Q6N069-4;Q6N069-3;Q6N069-2;Q6N069	Q9BXJ9;Q9BXJ9-4	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	sp|Q9BXJ9|NAA15_HUMAN N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1;sp|Q9BXJ9-4|NAA15_HUMAN Isoform 2 of N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15				38255000.0		
Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5	Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5	SRRT	Serrate RNA effector molecule homolog	sp|Q9BXP5-4|SRRT_HUMAN Isoform 4 of Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT;sp|Q9BXP5-2|SRRT_HUMAN Isoform 2 of Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT;sp|Q9BXP5-3|SRRT_HUMAN Isoform 3 of Serrate 				52559000.0	109170000.0	97391000.0
Q9BXR0-2;Q9BXR0	Q9BXR0-2;Q9BXR0	QTRT1	Queuine tRNA-ribosyltransferase	sp|Q9BXR0-2|TGT_HUMAN Isoform 2 of Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Homo sapiens OX=9606 GN=QTRT1;sp|Q9BXR0|TGT_HUMAN Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Homo sapiens OX=9606 GN=QTRT1 PE=1 SV=3						16849000.0
Q9BXS6-4;Q9BXS6-6;Q9BXS6-7;Q9BXS6-3;Q9BXS6-5;Q9BXS6-2;Q9BXS6	Q9BXS6-4;Q9BXS6-6;Q9BXS6-7;Q9BXS6-3;Q9BXS6-5;Q9BXS6-2;Q9BXS6	NUSAP1	Nucleolar and spindle-associated protein 1	sp|Q9BXS6-4|NUSAP_HUMAN Isoform 4 of Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1;sp|Q9BXS6-6|NUSAP_HUMAN Isoform 6 of Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1;sp|Q9BXS6-7|NUSAP_HUMAN Isof						6278000.0
