Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity SP3_1	LFQ intensity SP3_2	LFQ intensity SP3_3
A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2;A0MZ66-7	A0MZ66-8;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-2	KIAA1598	Shootin-1	sp|A0MZ66-8|SHOT1_HUMAN Isoform 8 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-4|SHOT1_HUMAN Isoform 4 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-5|SHOT1_HUMAN Isoform 5 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1;sp|A0MZ66-6|SHOT				48183000.0	30297000.0	36640000.0
A1X283;Q5TCZ1-3;Q5TCZ1	A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3				16001000.0		
A6NDU8	A6NDU8	C5orf51	UPF0600 protein C5orf51	sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens OX=9606 GN=C5orf51 PE=1 SV=1						16451000.0
A6NED2	A6NED2	RCCD1	RCC1 domain-containing protein 1	sp|A6NED2|RCCD1_HUMAN RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1					4838200.0	
Q13765;E9PAV3-2;E9PAV3;Q9BZK3	Q13765;E9PAV3-2;E9PAV3	NACA	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	sp|Q13765|NACA_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;sp|E9PAV3-2|NACAM_HUMAN Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=960				545450000.0	130710000.0	123910000.0
O00148;O00148-2;O00148-3	O00148;O00148-2;O00148-3	DDX39A	ATP-dependent RNA helicase DDX39A	sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2;sp|O00148-2|DX39A_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A;sp|O00148-3|DX39A_HUMAN Isoform 3 of ATP-dependent 				80524000.0		
O00151	O00151	PDLIM1	PDZ and LIM domain protein 1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4				202490000.0	139820000.0	
O00159;O00159-3;O00159-2	O00159;O00159-3;O00159-2	MYO1C	Unconventional myosin-Ic	sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;sp|O00159-3|MYO1C_HUMAN Isoform 3 of Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C;sp|O00159-2|MYO1C_HUMAN Isoform 2 of Unconventional myosin-Ic OS=Homo s				66728000.0		76717000.0
O00161-2;O00161	O00161-2;O00161	SNAP23	Synaptosomal-associated protein 23	sp|O00161-2|SNP23_HUMAN Isoform SNAP-23b of Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23;sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1				12157000.0		
O00231;O00231-2	O00231;O00231-2	PSMD11	26S proteasome non-ATPase regulatory subunit 11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3;sp|O00231-2|PSD11_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11				135770000.0	167010000.0	218190000.0
O00232;O00232-2	O00232;O00232-2	PSMD12	26S proteasome non-ATPase regulatory subunit 12	sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3;sp|O00232-2|PSD12_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12				98961000.0		149750000.0
O00233;O00233-2;O00233-3	O00233;O00233-2	PSMD9	26S proteasome non-ATPase regulatory subunit 9	sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3;sp|O00233-2|PSMD9_HUMAN Isoform p27-S of 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9					59972000.0	55255000.0
O00255-3;O00255-2;O00255	O00255-3;O00255-2;O00255	MEN1	Menin	sp|O00255-3|MEN1_HUMAN Isoform 3 of Menin OS=Homo sapiens OX=9606 GN=MEN1;sp|O00255-2|MEN1_HUMAN Isoform 2 of Menin OS=Homo sapiens OX=9606 GN=MEN1;sp|O00255|MEN1_HUMAN Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4						2913900.0
O00267-2;O00267	O00267-2;O00267	SUPT5H	Transcription elongation factor SPT5	sp|O00267-2|SPT5H_HUMAN Isoform 2 of Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H;sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1				11263000.0		
O00291-3;O00291-4;O00291	O00291-3;O00291-4;O00291	HIP1	Huntingtin-interacting protein 1	sp|O00291-3|HIP1_HUMAN Isoform 3 of Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1;sp|O00291-4|HIP1_HUMAN Isoform 4 of Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1;sp|O00291|HIP1_HUMAN Huntingtin-interacting protein 1 						4137900.0
O00299	O00299	CLIC1	Chloride intracellular channel protein 1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4				398620000.0	333070000.0	428830000.0
O00303	O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1				281950000.0	84547000.0	80906000.0
O00330;O00330-3;O00330-2	O00330;O00330-3;O00330-2	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3;sp|O00330-3|ODPX_HUMAN Isoform 3 of Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX;sp|O00330					80917000.0	
O00401	O00401	WASL	Neural Wiskott-Aldrich syndrome protein	sp|O00401|WASL_HUMAN Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens OX=9606 GN=WASL PE=1 SV=2					8651600.0	
O00410;O00410-3;O00410-2;O60518	O00410;O00410-3;O00410-2	IPO5	Importin-5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;sp|O00410-3|IPO5_HUMAN Isoform 3 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5;sp|O00410-2|IPO5_HUMAN Isoform 2 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5				285690000.0	155990000.0	259570000.0
O00422;O00422-2	O00422;O00422-2	SAP18	Histone deacetylase complex subunit SAP18	sp|O00422|SAP18_HUMAN Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1;sp|O00422-2|SAP18_HUMAN Isoform 2 of Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18				94004000.0	101120000.0	102370000.0
O00425;O00425-2	O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2					77579000.0	
O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	DNM1L	Dynamin-1-like protein	sp|O00429-3|DNM1L_HUMAN Isoform 2 of Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L;sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2;sp|O00429-4|DNM1L_HUMAN Isoform 3 of Dynamin-1-like protein OS=Homo sapiens				82101000.0	74805000.0	70115000.0
O00461	O00461	GOLIM4	Golgi integral membrane protein 4	sp|O00461|GOLI4_HUMAN Golgi integral membrane protein 4 OS=Homo sapiens OX=9606 GN=GOLIM4 PE=1 SV=1				13994000.0		
O00483	O00483	NDUFA4	Cytochrome c oxidase subunit NDUFA4	sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1				102900000.0		
O00487	O00487	PSMD14	26S proteasome non-ATPase regulatory subunit 14	sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1				106830000.0		
O00541-2;O00541	O00541-2;O00541	PES1	Pescadillo homolog	sp|O00541-2|PESC_HUMAN Isoform 2 of Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1;sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1				84810000.0	83278000.0	90497000.0
O00567	O00567	NOP56	Nucleolar protein 56	sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4				215230000.0	178350000.0	216970000.0
O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0	O00571;O00571-2;O15523-2;O15523	DDX3X;DDX3Y	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O00571-2|DDX3X_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X;sp|O15523-2|DDX3Y_HUMAN Isoform 2 of ATP-dependent RNA 				284850000.0	236330000.0	438310000.0
O00592-2;O00592	O00592-2;O00592	PODXL	Podocalyxin	sp|O00592-2|PODXL_HUMAN Isoform 2 of Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL;sp|O00592|PODXL_HUMAN Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL PE=1 SV=2				56695000.0		
O14545;O14545-2	O14545	TRAFD1	TRAF-type zinc finger domain-containing protein 1	sp|O14545|TRAD1_HUMAN TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=TRAFD1 PE=1 SV=1					19042000.0	
O14579;O14579-2;O14579-3	O14579;O14579-2;O14579-3	COPE	Coatomer subunit epsilon	sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3;sp|O14579-2|COPE_HUMAN Isoform 2 of Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE;sp|O14579-3|COPE_HUMAN Isoform 3 of Coatomer subunit epsilon OS=Homo sapien				32696000.0		
O14737;O14737-2	O14737;O14737-2	PDCD5	Programmed cell death protein 5	sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3;sp|O14737-2|PDCD5_HUMAN Isoform 2 of Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5				117250000.0	91737000.0	
O14744;O14744-2;O14744-5;O14744-3;O14744-4	O14744;O14744-2;O14744-5;O14744-3;O14744-4	PRMT5	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4;sp|O14744-2|ANM5_HUMAN Isoform 2 of Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5;sp|O14744-5|ANM5_HUMAN Isoform 5 of Protein a				66543000.0	85580000.0	82684000.0
O14745;O14745-2	O14745;O14745-2	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4;sp|O14745-2|NHRF1_HUMAN Isoform 2 of Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1				261640000.0	428250000.0	414540000.0
O14776-2;O14776	O14776-2;O14776	TCERG1	Transcription elongation regulator 1	sp|O14776-2|TCRG1_HUMAN Isoform 2 of Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1;sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2				61323000.0	51483000.0	71032000.0
O14818;O14818-2;O14818-4;Q8TAA3-2;Q8TAA3-5;Q8TAA3	O14818;O14818-2;O14818-4	PSMA7	Proteasome subunit alpha type-7	sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1;sp|O14818-2|PSA7_HUMAN Isoform 2 of Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7;sp|O14818-4|PSA7_HUMAN Isoform 3 of Proteasome subunit alph				487470000.0	108440000.0	107550000.0
O14828;O14828-2	O14828;O14828-2	SCAMP3	Secretory carrier-associated membrane protein 3	sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3 PE=1 SV=3;sp|O14828-2|SCAM3_HUMAN Isoform 2 of Secretory carrier-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=SCAMP3				93651000.0	24796000.0	27107000.0
O14929;O14929-2	O14929;O14929-2	HAT1	Histone acetyltransferase type B catalytic subunit	sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1;sp|O14929-2|HAT1_HUMAN Isoform B of Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1				254630000.0	33655000.0	29685000.0
O14949	O14949	UQCRQ	Cytochrome b-c1 complex subunit 8	sp|O14949|QCR8_HUMAN Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4				36306000.0		
P19105;O14950;P24844;P24844-2	P19105;O14950;P24844	MYL12A;MYL12B;MYL9	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P24844|MYL9_HUMAN Myosin regulatory light polypeptide				90513000.0		
O14974-5;O14974;O14974-4;O14974-2;O14974-3	O14974-5;O14974;O14974-4;O14974-2;O14974-3	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	sp|O14974-5|MYPT1_HUMAN Isoform 5 of Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A;sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;sp|O14974-4|MYPT1_HUMAN I				45465000.0	73769000.0	
O14979-3;O14979-2;O14979	O14979-3;O14979-2;O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	sp|O14979-3|HNRDL_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL;sp|O14979-2|HNRDL_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL;sp|O14979|HNRDL_HU				329420000.0		
O14980	O14980	XPO1	Exportin-1	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1				96289000.0		
O14981	O14981	BTAF1	TATA-binding protein-associated factor 172	sp|O14981|BTAF1_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2						10157000.0
O15020-2;O15020	O15020-2;O15020	SPTBN2	Spectrin beta chain, non-erythrocytic 2	sp|O15020-2|SPTN2_HUMAN Isoform 2 of Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2;sp|O15020|SPTN2_HUMAN Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3						17048000.0
O15027-2;O15027-4;O15027-3;O15027;O15027-5	O15027-2;O15027-4;O15027-3;O15027;O15027-5	SEC16A	Protein transport protein Sec16A	sp|O15027-2|SC16A_HUMAN Isoform 2 of Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A;sp|O15027-4|SC16A_HUMAN Isoform 4 of Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A;sp|O15027-3|SC16A_HUMAN Isoform 3 of Protein tra				24530000.0		35923000.0
O15031	O15031	PLXNB2	Plexin-B2	sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3					18558000.0	24296000.0
O15042;O15042-2;O15042-3	O15042;O15042-2;O15042-3	U2SURP	U2 snRNP-associated SURP motif-containing protein	sp|O15042|SR140_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2;sp|O15042-2|SR140_HUMAN Isoform 2 of U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP;sp|O15042-3|SR140_H				41700000.0		53629000.0
O15047	O15047	SETD1A	Histone-lysine N-methyltransferase SETD1A	sp|O15047|SET1A_HUMAN Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens OX=9606 GN=SETD1A PE=1 SV=3					4470200.0	
O15067	O15067	PFAS	Phosphoribosylformylglycinamidine synthase	sp|O15067|PUR4_HUMAN Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4				261540000.0	217830000.0	273710000.0
O15143	O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B	sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3				101970000.0	80393000.0	94442000.0
O15144	O15144	ARPC2	Actin-related protein 2/3 complex subunit 2	sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1				99874000.0		
O15145	O15145	ARPC3	Actin-related protein 2/3 complex subunit 3	sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3				47349000.0		116230000.0
O15160-2;O15160	O15160-2;O15160	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	sp|O15160-2|RPAC1_HUMAN Isoform 2 of DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C;sp|O15160|RPAC1_HUMAN DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1					53927000.0	
O15173;O15173-2	O15173;O15173-2	PGRMC2	Membrane-associated progesterone receptor component 2	sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1;sp|O15173-2|PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2				18558000.0		
O15305;O15305-2;Q92871	O15305;O15305-2	PMM2	Phosphomannomutase 2	sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1;sp|O15305-2|PMM2_HUMAN Isoform 2 of Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2						47298000.0
O15355	O15355	PPM1G	Protein phosphatase 1G	sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1				170860000.0	174360000.0	208060000.0
O15357	O15357	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	sp|O15357|SHIP2_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens OX=9606 GN=INPPL1 PE=1 SV=2						6699800.0
O15371-2;O15371-3;O15371	O15371-2;O15371-3;O15371	EIF3D	Eukaryotic translation initiation factor 3 subunit D	sp|O15371-2|EIF3D_HUMAN Isoform 2 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D;sp|O15371-3|EIF3D_HUMAN Isoform 3 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D;sp|O15371|				124450000.0	222300000.0	202510000.0
O15372	O15372	EIF3H	Eukaryotic translation initiation factor 3 subunit H	sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1					51874000.0	36899000.0
O15397	O15397	IPO8	Importin-8	sp|O15397|IPO8_HUMAN Importin-8 OS=Homo sapiens OX=9606 GN=IPO8 PE=1 SV=2					22744000.0	
O15400-2;O15400	O15400-2;O15400	STX7	Syntaxin-7	sp|O15400-2|STX7_HUMAN Isoform 2 of Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7;sp|O15400|STX7_HUMAN Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4						17249000.0
O94900;O15405-2;O15405;O94842-3;O94842-2;O94842	O94900;O15405-2;O15405;O94842-3;O94842-2;O94842	TOX;TOX3;TOX4	Thymocyte selection-associated high mobility group box protein TOX;TOX high mobility group box family member 3;TOX high mobility group box family member 4	sp|O94900|TOX_HUMAN Thymocyte selection-associated high mobility group box protein TOX OS=Homo sapiens OX=9606 GN=TOX PE=2 SV=3;sp|O15405-2|TOX3_HUMAN Isoform 2 of TOX high mobility group box family member 3 OS=Homo sapiens OX=9606 GN=TOX3;sp|O15405|TOX3_H					6425900.0	
O15427	O15427	SLC16A3	Monocarboxylate transporter 4	sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1				94159000.0		
O15439-2;O15439	O15439-2;O15439	ABCC4	Multidrug resistance-associated protein 4	sp|O15439-2|MRP4_HUMAN Isoform 2 of Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4;sp|O15439|MRP4_HUMAN Multidrug resistance-associated protein 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3				7257100.0		
O15460-2;O15460	O15460-2;O15460	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	sp|O15460-2|P4HA2_HUMAN Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2;sp|O15460|P4HA2_HUMAN Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1						4540000.0
O15533-2;O15533;O15533-3;O15533-4	O15533-2;O15533;O15533-3;O15533-4	TAPBP	Tapasin	sp|O15533-2|TPSN_HUMAN Isoform 2 of Tapasin OS=Homo sapiens OX=9606 GN=TAPBP;sp|O15533|TPSN_HUMAN Tapasin OS=Homo sapiens OX=9606 GN=TAPBP PE=1 SV=1;sp|O15533-3|TPSN_HUMAN Isoform 3 of Tapasin OS=Homo sapiens OX=9606 GN=TAPBP;sp|O15533-4|TPSN_HUMAN Isoform				9371300.0		
O15541	O15541	RNF113A	RING finger protein 113A	sp|O15541|R113A_HUMAN E3 ubiquitin-protein ligase RNF113A OS=Homo sapiens OX=9606 GN=RNF113A PE=1 SV=1					4045200.0	
O43143	O43143	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2				372660000.0	236810000.0	200930000.0
O43175	O43175	PHGDH	D-3-phosphoglycerate dehydrogenase	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4				2723400000.0	1138200000.0	2203700000.0
O43242;O43242-2	O43242;O43242-2	PSMD3	26S proteasome non-ATPase regulatory subunit 3	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2;sp|O43242-2|PSMD3_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3				154980000.0	158320000.0	
O43390;O43390-2;O43390-3;O43390-4	O43390;O43390-2;O43390-3;O43390-4	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1;sp|O43390-2|HNRPR_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR;sp|O43390-3|HNRPR_HUMAN Isoform 3 o				263190000.0		
O43396	O43396	TXNL1	Thioredoxin-like protein 1	sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3				96225000.0		
O43399;O43399-5;O43399-7	O43399;O43399-5;O43399-7	TPD52L2	Tumor protein D54	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;sp|O43399-5|TPD54_HUMAN Isoform 5 of Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2;sp|O43399-7|TPD54_HUMAN Isoform 7 of Tumor protein D54 OS=Homo sapiens OX=9606 GN				81693000.0	148570000.0	151700000.0
O43447;O43447-2	O43447;O43447-2	PPIH	Peptidyl-prolyl cis-trans isomerase H	sp|O43447|PPIH_HUMAN Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH PE=1 SV=1;sp|O43447-2|PPIH_HUMAN Isoform 2 of Peptidyl-prolyl cis-trans isomerase H OS=Homo sapiens OX=9606 GN=PPIH				13233000.0		
