Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity DOC_1	LFQ intensity DOC_2	LFQ intensity DOC_3
A6NDG6	A6NDG6	PGP	Phosphoglycolate phosphatase	sp|A6NDG6|PGP_HUMAN Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1					61142000.0	68267000.0
Q13765;E9PAV3-2;E9PAV3;Q9BZK3	Q13765;E9PAV3-2;E9PAV3	NACA	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	sp|Q13765|NACA_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;sp|E9PAV3-2|NACAM_HUMAN Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=960					393280000.0	455050000.0
O00151	O00151	PDLIM1	PDZ and LIM domain protein 1	sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4					136340000.0	161620000.0
O00231;O00231-2	O00231;O00231-2	PSMD11	26S proteasome non-ATPase regulatory subunit 11	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3;sp|O00231-2|PSD11_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11				226260000.0	203040000.0	217820000.0
O00299	O00299	CLIC1	Chloride intracellular channel protein 1	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4				602750000.0	714170000.0	723560000.0
O00303	O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1					154270000.0	245550000.0
O00410;O00410-3;O00410-2;O60518	O00410;O00410-3;O00410-2	IPO5	Importin-5	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;sp|O00410-3|IPO5_HUMAN Isoform 3 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5;sp|O00410-2|IPO5_HUMAN Isoform 2 of Importin-5 OS=Homo sapiens OX=9606 GN=IPO5				218600000.0	259020000.0	287180000.0
O00425;O00425-2	O00425	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2				36866000.0	36120000.0	42855000.0
O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	O00429-3;O00429;O00429-4;O00429-5;O00429-2;O00429-6;O00429-9;O00429-8;O00429-7	DNM1L	Dynamin-1-like protein	sp|O00429-3|DNM1L_HUMAN Isoform 2 of Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L;sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2;sp|O00429-4|DNM1L_HUMAN Isoform 3 of Dynamin-1-like protein OS=Homo sapiens						87387000.0
O00442;O00442-2	O00442;O00442-2	RTCA	RNA 3-terminal phosphate cyclase	sp|O00442|RTCA_HUMAN RNA 3-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA PE=1 SV=1;sp|O00442-2|RTCA_HUMAN Isoform 2 of RNA 3-terminal phosphate cyclase OS=Homo sapiens OX=9606 GN=RTCA				5660100.0		
O00469-2;O00469;O00469-3	O00469-2;O00469;O00469-3	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	sp|O00469-2|PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2;sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2;sp|O00469-3|PLOD2_HUM						21242000.0
O00541-2;O00541	O00541-2;O00541	PES1	Pescadillo homolog	sp|O00541-2|PESC_HUMAN Isoform 2 of Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1;sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1					97313000.0	70492000.0
O00567	O00567	NOP56	Nucleolar protein 56	sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4				112320000.0	149080000.0	130230000.0
O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0	O00571;O00571-2;O15523-2;O15523	DDX3X;DDX3Y	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O00571-2|DDX3X_HUMAN Isoform 2 of ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X;sp|O15523-2|DDX3Y_HUMAN Isoform 2 of ATP-dependent RNA 						421190000.0
O00592-2;O00592	O00592-2;O00592	PODXL	Podocalyxin	sp|O00592-2|PODXL_HUMAN Isoform 2 of Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL;sp|O00592|PODXL_HUMAN Podocalyxin OS=Homo sapiens OX=9606 GN=PODXL PE=1 SV=2				65685000.0	58970000.0	35604000.0
O00764;O00764-3;O00764-2	O00764;O00764-3;O00764-2	PDXK	Pyridoxal kinase	sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1;sp|O00764-3|PDXK_HUMAN Isoform 3 of Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK;sp|O00764-2|PDXK_HUMAN Isoform 2 of Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK						47714000.0
O14617-5;O14617-4;O14617;O14617-2;O14617-3	O14617-5;O14617-4;O14617;O14617-2	AP3D1	AP-3 complex subunit delta-1	sp|O14617-5|AP3D1_HUMAN Isoform 5 of AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1;sp|O14617-4|AP3D1_HUMAN Isoform 4 of AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1;sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo						19222000.0
O14745;O14745-2	O14745;O14745-2	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4;sp|O14745-2|NHRF1_HUMAN Isoform 2 of Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1				184060000.0	225160000.0	221500000.0
O14818;O14818-2;O14818-4;Q8TAA3-2;Q8TAA3-5;Q8TAA3	O14818;O14818-2;O14818-4	PSMA7	Proteasome subunit alpha type-7	sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1;sp|O14818-2|PSA7_HUMAN Isoform 2 of Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7;sp|O14818-4|PSA7_HUMAN Isoform 3 of Proteasome subunit alph					304330000.0	339320000.0
O14929;O14929-2	O14929;O14929-2	HAT1	Histone acetyltransferase type B catalytic subunit	sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=1;sp|O14929-2|HAT1_HUMAN Isoform B of Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1					79552000.0	
P19105;O14950;P24844;P24844-2	P19105;O14950;P24844	MYL12A;MYL12B;MYL9	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P24844|MYL9_HUMAN Myosin regulatory light polypeptide				59197000.0		
O14979-3;O14979-2;O14979	O14979-3;O14979-2;O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	sp|O14979-3|HNRDL_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL;sp|O14979-2|HNRDL_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL;sp|O14979|HNRDL_HU					539450000.0	586440000.0
O14980	O14980	XPO1	Exportin-1	sp|O14980|XPO1_HUMAN Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1				158630000.0	101490000.0	121710000.0
O15212	O15212	PFDN6	Prefoldin subunit 6	sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens OX=9606 GN=PFDN6 PE=1 SV=1					107890000.0	123240000.0
O15226;O15226-2	O15226;O15226-2	NKRF	NF-kappa-B-repressing factor	sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2;sp|O15226-2|NKRF_HUMAN Isoform 2 of NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF					5643900.0	6412600.0
O15355	O15355	PPM1G	Protein phosphatase 1G	sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1					126470000.0	101640000.0
O15371-2;O15371-3;O15371	O15371-2;O15371-3;O15371	EIF3D	Eukaryotic translation initiation factor 3 subunit D	sp|O15371-2|EIF3D_HUMAN Isoform 2 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D;sp|O15371-3|EIF3D_HUMAN Isoform 3 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D;sp|O15371|				108130000.0	239420000.0	186050000.0
O15427	O15427	SLC16A3	Monocarboxylate transporter 4	sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1				165690000.0	151080000.0	168690000.0
O15511;O15511-2	O15511;O15511-2	ARPC5	Actin-related protein 2/3 complex subunit 5	sp|O15511|ARPC5_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3;sp|O15511-2|ARPC5_HUMAN Isoform 2 of Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5					55261000.0	
O43143	O43143	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2					255310000.0	258930000.0
O43169	O43169	CYB5B	Cytochrome b5 type B	sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3				46919000.0		
O43175	O43175	PHGDH	D-3-phosphoglycerate dehydrogenase	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4				964390000.0	2274000000.0	2252300000.0
O43242;O43242-2	O43242;O43242-2	PSMD3	26S proteasome non-ATPase regulatory subunit 3	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2;sp|O43242-2|PSMD3_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3					99700000.0	89761000.0
O43390;O43390-2;O43390-3;O43390-4	O43390;O43390-2;O43390-3;O43390-4	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1;sp|O43390-2|HNRPR_HUMAN Isoform 2 of Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR;sp|O43390-3|HNRPR_HUMAN Isoform 3 o				303380000.0	315260000.0	383150000.0
O43396	O43396	TXNL1	Thioredoxin-like protein 1	sp|O43396|TXNL1_HUMAN Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3					118010000.0	107320000.0
O43399;O43399-5;O43399-7	O43399;O43399-5;O43399-7	TPD52L2	Tumor protein D54	sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;sp|O43399-5|TPD54_HUMAN Isoform 5 of Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2;sp|O43399-7|TPD54_HUMAN Isoform 7 of Tumor protein D54 OS=Homo sapiens OX=9606 GN						107920000.0
O43592	O43592	XPOT	Exportin-T	sp|O43592|XPOT_HUMAN Exportin-T OS=Homo sapiens OX=9606 GN=XPOT PE=1 SV=2				21778000.0	19540000.0	19510000.0
O43678	O43678	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	sp|O43678|NDUA2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3					21825000.0	
O43681	O43681	ASNA1	ATPase ASNA1	sp|O43681|ASNA_HUMAN ATPase ASNA1 OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=2						79689000.0
O43684-2;O43684	O43684-2;O43684	BUB3	Mitotic checkpoint protein BUB3	sp|O43684-2|BUB3_HUMAN Isoform 2 of Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3;sp|O43684|BUB3_HUMAN Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1					104930000.0	65005000.0
O43707;O43707-2;O43707-3	O43707;O43707-2;O43707-3	ACTN4	Alpha-actinin-4	sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2;sp|O43707-2|ACTN4_HUMAN Isoform ACTN4ISO of Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4;sp|O43707-3|ACTN4_HUMAN Isoform 3 of Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=AC				959000000.0	1891200000.0	2065600000.0
O43719	O43719	HTATSF1	HIV Tat-specific factor 1	sp|O43719|HTSF1_HUMAN HIV Tat-specific factor 1 OS=Homo sapiens OX=9606 GN=HTATSF1 PE=1 SV=1					19122000.0	
O43760;O43760-2	O43760;O43760-2	SYNGR2	Synaptogyrin-2	sp|O43760|SNG2_HUMAN Synaptogyrin-2 OS=Homo sapiens OX=9606 GN=SYNGR2 PE=1 SV=1;sp|O43760-2|SNG2_HUMAN Isoform 2 of Synaptogyrin-2 OS=Homo sapiens OX=9606 GN=SYNGR2					19641000.0	
O43765	O43765	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	sp|O43765|SGTA_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1					32268000.0	30531000.0
O43776;O43776-2	O43776	NARS	Asparagine--tRNA ligase, cytoplasmic	sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS PE=1 SV=1				78875000.0	225070000.0	303430000.0
O43809	O43809	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1					141950000.0	144270000.0
O43813	O43813	LANCL1	LanC-like protein 1	sp|O43813|LANC1_HUMAN Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1						93707000.0
O43823	O43823	AKAP8	A-kinase anchor protein 8	sp|O43823|AKAP8_HUMAN A-kinase anchor protein 8 OS=Homo sapiens OX=9606 GN=AKAP8 PE=1 SV=1						14271000.0
O43852;O43852-3;O43852-5;O43852-6;O43852-9;O43852-15;O43852-10;O43852-13;O43852-14;O43852-11;O43852-12	O43852;O43852-3;O43852-5;O43852-6;O43852-9;O43852-15;O43852-10	CALU	Calumenin	sp|O43852|CALU_HUMAN Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2;sp|O43852-3|CALU_HUMAN Isoform 3 of Calumenin OS=Homo sapiens OX=9606 GN=CALU;sp|O43852-5|CALU_HUMAN Isoform 5 of Calumenin OS=Homo sapiens OX=9606 GN=CALU;sp|O43852-6|CALU_HUMAN Isof					257570000.0	230370000.0
O43865;O43865-2;Q96HN2-4;Q96HN2-3;Q96HN2-2;Q96HN2	O43865;O43865-2;Q96HN2-4;Q96HN2-3;Q96HN2-2;Q96HN2	AHCYL1;AHCYL2	Putative adenosylhomocysteinase 2;Putative adenosylhomocysteinase 3	sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;sp|O43865-2|SAHH2_HUMAN Isoform 2 of S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1;sp|Q96HN2-4|SAHH3_HUMAN						88373000.0
O60264;P28370-2;P28370	O60264	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	sp|O60264|SMCA5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1				106470000.0	139050000.0	85182000.0
O60306	O60306	AQR	Intron-binding protein aquarius	sp|O60306|AQR_HUMAN RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4						3357000.0
O60313-9;O60313-2;O60313-10;O60313-13;O60313;O60313-11	O60313-9;O60313-2;O60313-10;O60313-13;O60313;O60313-11	OPA1	Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	sp|O60313-9|OPA1_HUMAN Isoform 3 of Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1;sp|O60313-2|OPA1_HUMAN Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1;sp|O60313-10|OPA1_HUMAN Isoform 				30037000.0		
O60343-2;O60343-3;O60343	O60343-2;O60343-3;O60343	TBC1D4	TBC1 domain family member 4	sp|O60343-2|TBCD4_HUMAN Isoform 2 of TBC1 domain family member 4 OS=Homo sapiens OX=9606 GN=TBC1D4;sp|O60343-3|TBCD4_HUMAN Isoform 3 of TBC1 domain family member 4 OS=Homo sapiens OX=9606 GN=TBC1D4;sp|O60343|TBCD4_HUMAN TBC1 domain family member 4 OS=Homo 						3697300.0
O60443-3;O60443	O60443-3;O60443	DFNA5	Non-syndromic hearing impairment protein 5	sp|O60443-3|GSDME_HUMAN Isoform 3 of Gasdermin-E OS=Homo sapiens OX=9606 GN=GSDME;sp|O60443|GSDME_HUMAN Gasdermin-E OS=Homo sapiens OX=9606 GN=GSDME PE=1 SV=2				5933400.0		
O60506;O60506-3;O60506-2;O60506-4;O60506-5	O60506;O60506-3;O60506-2;O60506-4;O60506-5	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	sp|O60506|HNRPQ_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2;sp|O60506-3|HNRPQ_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP;sp|O60506-2|HNRPQ_HUMAN Isoform 2				208090000.0	673840000.0	631970000.0
O60563;O60563-2	O60563;O60563-2	CCNT1	Cyclin-T1	sp|O60563|CCNT1_HUMAN Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1;sp|O60563-2|CCNT1_HUMAN Isoform 2 of Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1						39607000.0
O60664;O60664-4;O60664-3;O60664-2	O60664;O60664-4;O60664-3	PLIN3	Perilipin-3	sp|O60664|PLIN3_HUMAN Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3;sp|O60664-4|PLIN3_HUMAN Isoform 4 of Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3;sp|O60664-3|PLIN3_HUMAN Isoform 3 of Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3					271010000.0	398480000.0
O60763;O60763-2	O60763;O60763-2	USO1	General vesicular transport factor p115	sp|O60763|USO1_HUMAN General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2;sp|O60763-2|USO1_HUMAN Isoform 2 of General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1						32447000.0
O60832;O60832-2	O60832;O60832-2	DKC1	H/ACA ribonucleoprotein complex subunit 4	sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3;sp|O60832-2|DKC1_HUMAN Isoform 3 of H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1				50503000.0	70892000.0	93604000.0
O60841	O60841	EIF5B	Eukaryotic translation initiation factor 5B	sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4				129750000.0	150230000.0	157840000.0
O60869;O60869-2;O60869-3	O60869;O60869-2;O60869-3	EDF1	Endothelial differentiation-related factor 1	sp|O60869|EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1;sp|O60869-2|EDF1_HUMAN Isoform 2 of Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1;sp|O60869-3|EDF1_HUMAN Isoform 3 of				109730000.0		
O60925	O60925	PFDN1	Prefoldin subunit 1	sp|O60925|PFD1_HUMAN Prefoldin subunit 1 OS=Homo sapiens OX=9606 GN=PFDN1 PE=1 SV=2					46058000.0	51155000.0
O75131;Q9HCH3-2;Q96FN4-2;Q96FN4;Q8IYJ1;Q96A23;O95741;Q9UBL6-2;Q96A23-2;Q9HCH3;O95741-2;Q9UBL6	O75131	CPNE3	Copine-3	sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1					64722000.0	82431000.0
O75152;A0A1B0GTU1	O75152	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	sp|O75152|ZC11A_HUMAN Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=3					15540000.0	
O75190-2;O75190-3;O75190;Q8NHS0;P25686-2;O75190-4;P25686	O75190-2;O75190-3;O75190;Q8NHS0;P25686-2;O75190-4;P25686	DNAJB6;DNAJB8;DNAJB2	DnaJ homolog subfamily B member 6;DnaJ homolog subfamily B member 8;DnaJ homolog subfamily B member 2	sp|O75190-2|DNJB6_HUMAN Isoform B of DnaJ homolog subfamily B member 6 OS=Homo sapiens OX=9606 GN=DNAJB6;sp|O75190-3|DNJB6_HUMAN Isoform C of DnaJ homolog subfamily B member 6 OS=Homo sapiens OX=9606 GN=DNAJB6;sp|O75190|DNJB6_HUMAN DnaJ homolog subfamily B						8152900.0
O75208;O75208-2	O75208;O75208-2	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	sp|O75208|COQ9_HUMAN Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens OX=9606 GN=COQ9 PE=1 SV=1;sp|O75208-2|COQ9_HUMAN Isoform 2 of Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens OX=9606 GN=COQ9						23560000.0
O75340;O75340-2	O75340;O75340-2	PDCD6	Programmed cell death protein 6	sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1;sp|O75340-2|PDCD6_HUMAN Isoform 2 of Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6					224810000.0	355700000.0
O75347;O75347-2	O75347;O75347-2	TBCA	Tubulin-specific chaperone A	sp|O75347|TBCA_HUMAN Tubulin-specific chaperone A OS=Homo sapiens OX=9606 GN=TBCA PE=1 SV=3;sp|O75347-2|TBCA_HUMAN Isoform 2 of Tubulin-specific chaperone A OS=Homo sapiens OX=9606 GN=TBCA				361010000.0	385220000.0	
O75367-3;O75367;O75367-2;Q9P0M6	O75367-3;O75367;O75367-2	H2AFY	Core histone macro-H2A.1	sp|O75367-3|H2AY_HUMAN Isoform 3 of Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=H2AFY;sp|O75367|H2AY_HUMAN Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=H2AFY PE=1 SV=4;sp|O75367-2|H2AY_HUMAN Isoform 1 of Core histone macro-H2A.1 OS=Homo sapi					226180000.0	359270000.0
O75369-8;O75369-2;O75369-9;O75369;O75369-6;O75369-3;O75369-7;O75369-5;O75369-4	O75369-8;O75369-2;O75369-9;O75369;O75369-6;O75369-3;O75369-7;O75369-5;O75369-4	FLNB	Filamin-B	sp|O75369-8|FLNB_HUMAN Isoform 8 of Filamin-B OS=Homo sapiens OX=9606 GN=FLNB;sp|O75369-2|FLNB_HUMAN Isoform 2 of Filamin-B OS=Homo sapiens OX=9606 GN=FLNB;sp|O75369-9|FLNB_HUMAN Isoform 9 of Filamin-B OS=Homo sapiens OX=9606 GN=FLNB;sp|O75369|FLNB_HUMAN F				133540000.0	333140000.0	264540000.0
O75390	O75390	CS	Citrate synthase, mitochondrial	sp|O75390|CISY_HUMAN Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2					269890000.0	389240000.0
O75396	O75396	SEC22B	Vesicle-trafficking protein SEC22b	sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4						214270000.0
O75436;O75436-2	O75436;O75436-2	VPS26A	Vacuolar protein sorting-associated protein 26A	sp|O75436|VP26A_HUMAN Vacuolar protein sorting-associated protein 26A OS=Homo sapiens OX=9606 GN=VPS26A PE=1 SV=2;sp|O75436-2|VP26A_HUMAN Isoform 2 of Vacuolar protein sorting-associated protein 26A OS=Homo sapiens OX=9606 GN=VPS26A					71158000.0	
