Protein IDs	Majority protein IDs	Gene names	Protein names	Fasta headers	Only identified by site	Reverse	Potential contaminant	LFQ intensity DOC_1	LFQ intensity DOC_2	LFQ intensity DOC_3
Q13428-3;Q13428-8;Q13428;Q13428-4;Q13428-2;Q13428-7;Q13428-6;Q13428-5	Q13428-3;Q13428-8;Q13428;Q13428-4;Q13428-2;Q13428-7;Q13428-6;Q13428-5	TCOF1	Treacle protein	sp|Q13428-3|TCOF_HUMAN Isoform 3 of Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1;sp|Q13428-8|TCOF_HUMAN Isoform 8 of Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1;sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3;sp|Q13				68969000.0	38646000.0	53453000.0
Q13435	Q13435	SF3B2	Splicing factor 3B subunit 2	sp|Q13435|SF3B2_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2				189820000.0	204750000.0	222850000.0
Q13442	Q13442	PDAP1	28 kDa heat- and acid-stable phosphoprotein	sp|Q13442|HAP28_HUMAN 28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens OX=9606 GN=PDAP1 PE=1 SV=1					197140000.0	
Q13443-2;Q13443	Q13443-2;Q13443	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9	sp|Q13443-2|ADAM9_HUMAN Isoform 2 of Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9;sp|Q13443|ADAM9_HUMAN Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens OX=9606 GN=ADAM9 PE=1 SV						7338700.0
Q13451;Q13451-2	Q13451	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5, N-terminally processed	sp|Q13451|FKBP5_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens OX=9606 GN=FKBP5 PE=1 SV=2					9659000.0	
Q13505-3;Q13505-2;Q13505	Q13505-3;Q13505-2;Q13505	MTX1	Metaxin-1	sp|Q13505-3|MTX1_HUMAN Isoform 3 of Metaxin-1 OS=Homo sapiens OX=9606 GN=MTX1;sp|Q13505-2|MTX1_HUMAN Isoform 2 of Metaxin-1 OS=Homo sapiens OX=9606 GN=MTX1;sp|Q13505|MTX1_HUMAN Metaxin-1 OS=Homo sapiens OX=9606 GN=MTX1 PE=1 SV=3					9084200.0	
Q13561;Q13561-3;Q13561-2	Q13561;Q13561-3;Q13561-2	DCTN2	Dynactin subunit 2	sp|Q13561|DCTN2_HUMAN Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4;sp|Q13561-3|DCTN2_HUMAN Isoform 3 of Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2;sp|Q13561-2|DCTN2_HUMAN Isoform 2 of Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=				109310000.0		113850000.0
Q13573	Q13573	SNW1	SNW domain-containing protein 1	sp|Q13573|SNW1_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1						20716000.0
Q13596-2;Q13596;Q13596-3	Q13596-2;Q13596;Q13596-3	SNX1	Sorting nexin-1	sp|Q13596-2|SNX1_HUMAN Isoform 1A of Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1;sp|Q13596|SNX1_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3;sp|Q13596-3|SNX1_HUMAN Isoform 3 of Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1						6170200.0
Q13619;Q13619-2	Q13619;Q13619-2	CUL4A	Cullin-4A	sp|Q13619|CUL4A_HUMAN Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3;sp|Q13619-2|CUL4A_HUMAN Isoform 2 of Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A				22011000.0	19112000.0	
Q13620;Q13620-1;Q13620-3	Q13620;Q13620-1;Q13620-3	CUL4B	Cullin-4B	sp|Q13620|CUL4B_HUMAN Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4;sp|Q13620-1|CUL4B_HUMAN Isoform 2 of Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B;sp|Q13620-3|CUL4B_HUMAN Isoform 3 of Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B				17275000.0	13341000.0	12130000.0
Q13813;Q13813-3;Q13813-2	Q13813;Q13813-3;Q13813-2	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;sp|Q13813-3|SPTN1_HUMAN Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1;sp|Q13813-2|SPTN1_HUMAN Isoform 2 of 				705090000.0	877880000.0	1015500000.0
Q13838;Q13838-2	Q13838;Q13838-2	DDX39B	Spliceosome RNA helicase DDX39B	sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1;sp|Q13838-2|DX39B_HUMAN Isoform 2 of Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B					559100000.0	617350000.0
Q13868-3;Q13868;Q13868-2	Q13868-3;Q13868;Q13868-2	EXOSC2	Exosome complex component RRP4	sp|Q13868-3|EXOS2_HUMAN Isoform 3 of Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2;sp|Q13868|EXOS2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2;sp|Q13868-2|EXOS2_HUMAN Isoform 2 of Exosome complex comp				14755000.0		
Q13907;Q13907-2;Q9BXS1	Q13907;Q13907-2	IDI1	Isopentenyl-diphosphate Delta-isomerase 1	sp|Q13907|IDI1_HUMAN Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2;sp|Q13907-2|IDI1_HUMAN Isoform 2 of Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1				136350000.0	110140000.0	141290000.0
Q14019	Q14019	COTL1	Coactosin-like protein	sp|Q14019|COTL1_HUMAN Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3				132340000.0	110880000.0	121430000.0
Q14103-3;Q14103;Q14103-4;Q14103-2	Q14103-3;Q14103;Q14103-4;Q14103-2	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	sp|Q14103-3|HNRPD_HUMAN Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD;sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;sp|Q14103-4|HNRPD_HUMAN Isoform 4				291260000.0	739140000.0	969800000.0
Q14108;Q14108-2	Q14108;Q14108-2	SCARB2	Lysosome membrane protein 2	sp|Q14108|SCRB2_HUMAN Lysosome membrane protein 2 OS=Homo sapiens OX=9606 GN=SCARB2 PE=1 SV=2;sp|Q14108-2|SCRB2_HUMAN Isoform 2 of Lysosome membrane protein 2 OS=Homo sapiens OX=9606 GN=SCARB2						37815000.0
Q14126	Q14126	DSG2	Desmoglein-2	sp|Q14126|DSG2_HUMAN Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2				75601000.0	71829000.0	74221000.0
Q14134-2;Q14134	Q14134-2;Q14134	TRIM29	Tripartite motif-containing protein 29	sp|Q14134-2|TRI29_HUMAN Isoform Beta of Tripartite motif-containing protein 29 OS=Homo sapiens OX=9606 GN=TRIM29;sp|Q14134|TRI29_HUMAN Tripartite motif-containing protein 29 OS=Homo sapiens OX=9606 GN=TRIM29 PE=1 SV=2				4382300.0		
Q14152;Q14152-2	Q14152;Q14152-2	EIF3A	Eukaryotic translation initiation factor 3 subunit A	sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1;sp|Q14152-2|EIF3A_HUMAN Isoform 2 of Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A				293560000.0	258510000.0	219380000.0
Q14157-4;Q14157-1;Q14157-3;Q14157;Q14157-5	Q14157-4;Q14157-1;Q14157-3;Q14157;Q14157-5	UBAP2L	Ubiquitin-associated protein 2-like	sp|Q14157-4|UBP2L_HUMAN Isoform 4 of Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L;sp|Q14157-1|UBP2L_HUMAN Isoform 2 of Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L;sp|Q14157-3|UBP2L_HUMAN Isoform 3 of Ubiqu					129360000.0	129340000.0
Q14204	Q14204	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5				112720000.0	225470000.0	227520000.0
Q14244;Q14244-3;Q14244-2;Q14244-6;Q14244-7;Q14244-5;Q14244-4	Q14244;Q14244-3;Q14244-2;Q14244-6;Q14244-7;Q14244-5;Q14244-4	MAP7	Ensconsin	sp|Q14244|MAP7_HUMAN Ensconsin OS=Homo sapiens OX=9606 GN=MAP7 PE=1 SV=1;sp|Q14244-3|MAP7_HUMAN Isoform 3 of Ensconsin OS=Homo sapiens OX=9606 GN=MAP7;sp|Q14244-2|MAP7_HUMAN Isoform 2 of Ensconsin OS=Homo sapiens OX=9606 GN=MAP7;sp|Q14244-6|MAP7_HUMAN Isof				87363000.0	75371000.0	55404000.0
Q14247;Q14247-3;Q14247-2	Q14247;Q14247-3;Q14247-2	CTTN	Src substrate cortactin	sp|Q14247|SRC8_HUMAN Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2;sp|Q14247-3|SRC8_HUMAN Isoform 3 of Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN;sp|Q14247-2|SRC8_HUMAN Isoform 2 of Src substrate cortactin OS=Homo sapiens O				152790000.0	133460000.0	182670000.0
Q14254	Q14254	FLOT2	Flotillin-2	sp|Q14254|FLOT2_HUMAN Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2				64315000.0		
Q14257;Q14257-2	Q14257;Q14257-2	RCN2	Reticulocalbin-2	sp|Q14257|RCN2_HUMAN Reticulocalbin-2 OS=Homo sapiens OX=9606 GN=RCN2 PE=1 SV=1;sp|Q14257-2|RCN2_HUMAN Isoform 2 of Reticulocalbin-2 OS=Homo sapiens OX=9606 GN=RCN2						69769000.0
Q14258	Q14258	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	sp|Q14258|TRI25_HUMAN E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2					41184000.0	
Q14444-2;Q14444	Q14444-2;Q14444	CAPRIN1	Caprin-1	sp|Q14444-2|CAPR1_HUMAN Isoform 2 of Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1;sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2					91804000.0	109570000.0
Q14498-3;Q14498-2;Q14498	Q14498-3;Q14498-2;Q14498	RBM39	RNA-binding protein 39	sp|Q14498-3|RBM39_HUMAN Isoform 3 of RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39;sp|Q14498-2|RBM39_HUMAN Isoform 2 of RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39;sp|Q14498|RBM39_HUMAN RNA-binding protein 39 OS=Homo sapiens OX=9606 G				61717000.0	78611000.0	80186000.0
Q14566	Q14566	MCM6	DNA replication licensing factor MCM6	sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1				93612000.0	87930000.0	102790000.0
Q14683	Q14683	SMC1A	Structural maintenance of chromosomes protein 1A	sp|Q14683|SMC1A_HUMAN Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2				48810000.0	98464000.0	91421000.0
Q14696	Q14696	MESDC2	LDLR chaperone MESD	sp|Q14696|MESD_HUMAN LRP chaperone MESD OS=Homo sapiens OX=9606 GN=MESD PE=1 SV=2						11815000.0
Q14697;Q14697-2;Q14697-3	Q14697;Q14697-2	GANAB	Neutral alpha-glucosidase AB	sp|Q14697|GANAB_HUMAN Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3;sp|Q14697-2|GANAB_HUMAN Isoform 2 of Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB				226380000.0	377630000.0	341440000.0
Q14839;Q14839-2;Q8TDI0	Q14839;Q14839-2	CHD4	Chromodomain-helicase-DNA-binding protein 4	sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2;sp|Q14839-2|CHD4_HUMAN Isoform 2 of Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4					50520000.0	78007000.0
Q14847;Q14847-2;Q14847-3;O76041-2	Q14847;Q14847-2;Q14847-3	LASP1	LIM and SH3 domain protein 1	sp|Q14847|LASP1_HUMAN LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2;sp|Q14847-2|LASP1_HUMAN Isoform 2 of LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1;sp|Q14847-3|LASP1_HUMAN Isoform 3 of LIM and SH3 domain protein				186510000.0	158850000.0	171880000.0
Q14974;Q14974-2	Q14974;Q14974-2	KPNB1	Importin subunit beta-1	sp|Q14974|IMB1_HUMAN Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2;sp|Q14974-2|IMB1_HUMAN Isoform 2 of Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1				701090000.0	577610000.0	614090000.0
Q14978;Q14978-3;Q14978-2	Q14978;Q14978-3;Q14978-2	NOLC1	Nucleolar and coiled-body phosphoprotein 1	sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2;sp|Q14978-3|NOLC1_HUMAN Isoform 3 of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1;sp|Q14978-2|NOLC1_HUMAN Isoform Bet						117850000.0
Q14980-2;Q14980;Q14980-4;Q14980-3;Q14980-5	Q14980-2;Q14980;Q14980-4;Q14980-3	NUMA1	Nuclear mitotic apparatus protein 1	sp|Q14980-2|NUMA1_HUMAN Isoform 2 of Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1;sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2;sp|Q14980-4|NUMA1_HUMAN Isoform 4 of Nuclear mito				49723000.0	86375000.0	68093000.0
